week,population,police,crime,emp,un,ymale,white,borough
76,198020,30998,718,0.57957906,0.091303304,0.066248648,0.59817332,3
77,198020,30336,751,0.6438694,0.033740617,0.07192912,0.62214452,3
78,198020,29995,736,0.67684662,0.04003863,0.074750096,0.59819621,3
79,198020,34149,717,0.62374711,0.030517194,0.086509302,0.68862265,3
80,198020,48442.801,659,0.58574724,0.062290676,0.05874905,0.63146234,3
81,198020,39867,652,0.67966235,0.031476729,0.063106596,0.68786603,3
82,198020,43171.801,660,0.65360737,0.038130637,0.078901462,0.51803595,3
83,198020,46571.199,679,0.66959792,0.044454243,0.073822178,0.53014845,3
84,198020,41483,645,0.63111275,0.048603326,0.052966326,0.61468464,3
85,198020,34946.199,635,0.68547553,0.047832552,0.058420796,0.71923941,3
86,198020,28557,608,0.58661032,0.027872086,0.060369287,0.54992789,3
87,198020,29224,653,0.52602816,0.067223631,0.081644438,0.49284202,3
88,198020,28313,703,0.62692869,0.06534595,0.081515521,0.58318216,3
89,198020,31308,672,0.62000555,0.070918679,0.055892862,0.58749348,3
90,198020,29852,596,0.65749621,0.044456299,0.069651864,0.63486648,3
91,198020,29943,683,0.63870215,0.062855922,0.091891348,0.60094494,3
92,198020,30851,690,0.65387034,0.058583528,0.068920538,0.73560476,3
93,198020,30731,710,0.60452324,0.048966039,0.070732392,0.64693427,3
94,198020,31355.25,700,0.60123312,0.074725382,0.09139125,0.64731091,3
95,198020,31658.25,688,0.65492171,0.044058502,0.077745929,0.53471208,3
96,198020,31380,729,0.67620492,0.055811353,0.055746946,0.50426644,3
97,198020,33161.418,711,0.60429513,0.085511714,0.043125257,0.58341479,3
98,198020,32168.85,750,0.67721164,0.04079451,0.052201781,0.73280752,3
99,198020,31189.5,678,0.58704078,0.034946702,0.072974667,0.51625186,3
100,198020,32112.584,694,0.60138708,0.050869245,0.062644035,0.51917183,3
101,198020,31345.25,745,0.62315202,0.043238711,0.075840198,0.58915752,3
102,198020,31245.166,706,0.63086784,0.076047696,0.087571256,0.54550356,3
103,198020,29114.584,616,0.61926633,0.051359423,0.067609973,0.57852751,3
104,198020,17857.301,424,0.60503519,0.050729599,0.080651112,0.6111154,3
1,165242,16334.717,410,0.69931257,0.055706903,0.07619147,0.71940374,4
